User Number	Artist	Songs
User 1	M. Ward	http://www.last.fm/music/M.+Ward
	Red Hot Chili Peppers	http://www.last.fm/music/Red+Hot+Chili+Peppers
	Travis	http://www.last.fm/music/Travis
	Modest Mouse	http://www.last.fm/music/Modest+Mouse
	Band of Horses	http://www.last.fm/music/Band+of+Horses
	Nirvana	http://www.last.fm/music/Nirvana
	Eels	http://www.last.fm/music/Eels
	Clap Your Hands Say Yeah	http://www.last.fm/music/Clap+Your+Hands+Say+Yeah
	Thom Yorke	http://www.last.fm/music/Thom+Yorke
	Massive Attack	http://www.last.fm/music/Massive+Attack
User 2	Keyshia Cole	http://www.last.fm/music/Keyshia+Cole
	Racionais MC's	http://www.last.fm/music/Racionais+MC%27s
	Toni Braxton	http://www.last.fm/music/Toni+Braxton
	Elo da Corrente	http://www.last.fm/music/Elo+da+Corrente
	Teta Lando	http://www.last.fm/music/Teta+Lando
	Flagelo Urbano	http://www.last.fm/music/Flagelo+Urbano
	Bob Marley & The Wailers	http://www.last.fm/music/Bob%2BMarley%2B%2526%2BThe%2BWailers
	Adriana Calcanhotto	http://www.last.fm/music/Adriana+Calcanhotto
	Maxwell	http://www.last.fm/music/Maxwell
	Pharoahe Monch	http://www.last.fm/music/Pharoahe+Monch
User 3	Common	http://www.last.fm/music/Common
	Bob Marley	http://www.last.fm/music/Bob+Marley
	Whitney Houston	http://www.last.fm/music/Whitney+Houston
	Tamia	http://www.last.fm/music/Tamia
	Bryan Adams	http://www.last.fm/music/Bryan+Adams
	Lokua Kanza	http://www.last.fm/music/Lokua+Kanza
	Nach	http://www.last.fm/music/Nach
	Kid Abelha	http://www.last.fm/music/Kid+Abelha
	Mariah Carey	http://www.last.fm/music/Mariah+Carey
	Tina Turner	http://www.last.fm/music/Tina+Turner
User 4	9th Wonder	http://www.last.fm/music/9th+Wonder
	Floetry	http://www.last.fm/music/Floetry
	Marisa Monte	http://www.last.fm/music/Marisa+Monte
	Mary J. Blige	http://www.last.fm/music/Mary+J.+Blige
	Jill Scott	http://www.last.fm/music/Jill+Scott
	Sara Tavares	http://www.last.fm/music/Sara+Tavares
	Sunset Rubdown	http://www.last.fm/music/Sunset+Rubdown
	Nine Inch Nails	http://www.last.fm/music/Nine+Inch+Nails
	Nirvana	http://www.last.fm/music/Nirvana
	Eels	http://www.last.fm/music/Eels
User 5	Clap Your Hands Say Yeah	http://www.last.fm/music/Clap+Your+Hands+Say+Yeah
	Thom Yorke	http://www.last.fm/music/Thom+Yorke
	Massive Attack	http://www.last.fm/music/Massive+Attack
	Keyshia Cole	http://www.last.fm/music/Keyshia+Cole
	Racionais MC's	http://www.last.fm/music/Racionais+MC%27s
	Toni Braxton	http://www.last.fm/music/Toni+Braxton
	Elo da Corrente	http://www.last.fm/music/Elo+da+Corrente
	Teta Lando	http://www.last.fm/music/Teta+Lando
	Flagelo Urbano	http://www.last.fm/music/Flagelo+Urbano
	Bob Marley & The Wailers	http://www.last.fm/music/Bob%2BMarley%2B%2526%2BThe%2BWailers
